Bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
72230	12	26	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72233	18	9	0.9563	0.0000	0.0375	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0063
72238	5	1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72248	18	7	0.9331	0.0000	0.0669	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72348	12	69	0.9383	0.0000	0.0617	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72352	5	73	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72371	11	1	0.3448	0.0000	0.4368	0.0000	0.0000	0.2184	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72388	6	427	0.7547	0.0377	0.1698	0.0189	0.0189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72501	5	43	0.9589	0.0000	0.0411	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
72510	16	530	0.6986	0.0137	0.1233	0.0000	0.0000	0.0000	0.1507	0.0137	0.0000	0.0000	0.0000	0.0000
72520	6	22	0.5976	0.0000	0.2840	0.0000	0.0000	0.0000	0.1183	0.0000	0.0000	0.0000	0.0000	0.0000
74244	19	10	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
74262	3	13	0.7105	0.0000	0.1316	0.0000	0.0000	0.0000	0.1579	0.0000	0.0000	0.0000	0.0000	0.0000
74320	19	1	0.9429	0.0000	0.0571	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
74355	18	1	0.9730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0270
74420	14	30	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
74504	8	25	0.3825	0.3018	0.0737	0.1018	0.1368	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0035
74513	8	5	0.4857	0.3857	0.0214	0.0429	0.0643	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
74514	19	1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
74519	18	6	0.9844	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0156
74592	14	3	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
74601	3	23	0.2321	0.2679	0.0179	0.4286	0.0536	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
74934	5	2	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
109777	4	1	0.0000	0.1000	0.3000	0.0000	0.2000	0.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
